Name,Rating,Review,Comment
Hussain Ahmad  Siddiqui,1,Not recommended at all,For music it's little bit okay.. But for calling its totally waste of money.
Flipkart Customer,5,Brilliant,Nice bass
Alpna  Chaturvedi,5,Must buy!,Very incredible 🤩😄very good and useful for studying students
Rohan Kapoor,5,Must buy!,This buds is awesome and great sound and design at lower price
Ankit Kumar,2,Not good,It's good but I am returning this because of its built quality .one of the earphone is not properly attached and it's charging connection is misplace
Rekha Devi,5,Highly recommended,Nice e
Samar Nath  Jaiswal ,5,Perfect product!,Very good product
Biswajeet K,4,Wonderful,Only Good Prodt
Mohammed Ashik,1,Worst experience ever!,Charging case connector problem ear bud is slippery automatic on off is major problem
ramji pasumarthi,5,Best in the market!,"Buds was very beautiful....base lovers will really enjoy; quality was also good, value for money, I loved it"
Ajinkya Kolte,5,Highly recommended,"Audio quality is excellent...Bass 10/10Trable 09/10Mid 08/10Overall... 10/10Must buy, this is in amezing experience...Go for it ❣️"
Balaji  Ch,1,Worst experience ever!,Very waste product.. right earbud is not working properly
Pinki  Das,3,Decent product,Call quality very bad.And that touch features is very poor 😞😞 touch response is poor..
raj sekhar,1,Very poor,actually noise buds looking v good but BT connection was poor n it's not truly wireles
makwana Divayansh,5,Simply awesome,Nice
Vicky Patole,1,Don't waste your money,Touch Sensors Are Not Working Good If You Adjust Your Noise Buds In Eears And If Your Hand Goes Near To The Sensor It Will Functioning Very Quickly And You Have To Do The Settings Again and Again So Irritating Bad Noise Buds Experience There Are No Specific Settings And Application To Control The Touch Sensors
Prasad Ban,5,Terrific purchase,Best in class
Sanju Mishra,1,Very poor,Vary bad experience with in 3-4 days touch response after few days won't't work properly and some time touch won't work i don't expect this with noise
Kalam Uddin,1,Did not meet expectations,Best sound and touch problem
manoj  Kumar,4,Worth the money,Sound good Built quality good
Flipkart Customer,5,Brilliant,Good
tapesh kumar,2,Slightly disappointed,after 4month sound decrease and change sound quality
Momin Farnaz ,3,Nice,It was good but left earpod some times it was not connecting overall good
Thatithuri Hemanth ,5,Worth every penny,Battery backup excellent sound clarityGood product
Naba Jit,5,Great product,Unbelievable
Hussain Hussainabi,5,Mind-blowing purchase,Awasome
Deepak Tawar,4,Nice product,"every thing is good like sound, battery backup bass is also quite good but i am little bit disappointing by the touch its working but sometimes it trouble me but the product like this in very cheap price is very good.I love the looks also"
Mr_chetu_k Insta acount ,5,Classy product,"Really this is the best ear buds in the price, I myself use it 24 hours a day, it has some unique voice, the best music has been provided by the noise buds"
Flipkart Customer,4,Really Nice,It is good
Manish Gupta,5,Fabulous!,Nice and cool fit and sound
Manish  Kumar jha,5,Terrific,Very nice product I have use without charge 5 days and battery health so good and connecting power very fast really don't waste high cost Airbus
Molay  Dhali,5,Wonderful,Thank you so much Flipkart ❤
Flipkart Customer,5,Best in the market!,Very awesome  product i loved it  thank you🤗 flipkart
Pawan  Rana,5,Great product,Wow really amazing...I'm very happy with this noise...really so super ......thank you soo much Flipkart
Vijay Choudhary ,4,Value-for-money,Good value for money product
Dashrath  Kumar ,5,Simply awesome,I love noise VS102
Raj Shankar Tiwary,4,Wonderful,"Somewhat overemphasized bass frequencies, overall the sound quality is good and you can even hear tiny details in the tracks. The design could have been better as intense activities like dancing or working out disturb its fit in the ears and needs adjusting again and again, for normal usage there's no issues though. The battery backup is stellar! Overall pretty satisfied."
Jai Badholiya ,5,Wonderful,Great
Flipkart Customer,1,Absolute rubbish!,Not working services is very poor very worsted not purchase plz 🙏
Kanhu Charan Das,4,Really Nice,It's really superb
Flipkart Customer,5,Excellent,The battery backup is great i haven't charged it for a week and it still is fully charged Its worth your money !!!
Aman Khan,1,Did not meet expectations,Worst touch sensors 💔
Aman  Sharma,4,Really Nice,Very nice product
